,Internal Contact ID,Latitude,Longitude,BOROUGH,CUR_UNIT11,DEVELOPMEN,NONRES_BLD,RES_BLDG,TDS_NUM,TOT_POP11
53125,87726,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53132,87737,40.7939914,-73.9453045,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53135,87740,40.7960024,-73.942616,MANHATTAN,1299.0,JOHNSON,0.0,10.0,017,2763.0
53137,87753,40.791676,-73.948003,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53138,87754,40.7955593,-73.939328,MANHATTAN,1486.0,JEFFERSON,1.0,18.0,064,3560.0
53139,87755,40.7973844,-73.942948,MANHATTAN,1299.0,JOHNSON,0.0,10.0,017,2763.0
53140,87757,40.7949684,-73.9458437,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53141,87765,40.7930328,-73.9486404,MANHATTAN,1246.0,CARVER,0.0,13.0,058,2787.0
53143,87767,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53144,87768,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53147,87771,40.7921456,-73.9478607,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53148,87772,40.7942981,-73.9474919,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53149,87773,40.8143795,-73.9218216,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53150,87774,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53151,87775,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53152,87776,40.794506,-73.9485589,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53158,87785,40.7949897,-73.9396056,MANHATTAN,1486.0,JEFFERSON,1.0,18.0,064,3560.0
53159,87786,40.795448,-73.9466586,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53162,87791,40.795448,-73.9466586,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53163,87792,40.7930328,-73.9486404,MANHATTAN,1246.0,CARVER,0.0,13.0,058,2787.0
53165,87799,40.795448,-73.9466586,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53166,87800,40.7949897,-73.9396056,MANHATTAN,1486.0,JEFFERSON,1.0,18.0,064,3560.0
53167,87801,40.791676,-73.948003,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53174,87814,40.791676,-73.948003,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53175,87816,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53178,87819,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53179,87820,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53181,87825,40.791676,-73.948003,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53185,87830,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53186,87831,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
